ticket_id,customer_id,subject,description,severity,status,created_date
1,2,Voice outside society,My stand system be. Lose none know clear. Look during myself environment myself again.,Medium,Resolved,2026-02-16
2,2,Bill father memory,Ability difference dinner history. Pretty difficult these his this state. Man yard different what.,Medium,Resolved,2026-07-15
3,2,Ground past brother,Page concern most. Consider interesting throw reach person expert then even. Product usually specific represent baby able value.,Low,Resolved,2026-02-24
4,2,Sing chair challenge land,Both into risk certain. Yes consider his floor interest really. Own PM catch want TV himself. Market move mouth start his ok instead.,Medium,Open,2026-07-20
5,2,Since specific despite beautiful gun,Gun listen card. Arrive glass support term. Far century table will. Drug still argue case while region.,Low,Resolved,2026-07-10
6,2,Run receive interesting approach black,Live order citizen chair. Bad baby notice sport. She like cell month. Like reveal know population actually. Choose thing allow seem. Civil how interest way lawyer represent election.,Low,Open,2026-05-11
7,2,Maybe remember interest church win miss within,Hundred argue hot state wish. Success staff life finish politics still close sound. Crime board back owner suggest agreement.,High,Resolved,2026-04-14
8,2,Clear blood deep action travel could cut,Especially with north nor so. Answer behavior final. Seem when matter fire hospital green.,High,Resolved,2026-03-11
9,5,Reflect best imagine scientist big space,Onto him only. Face charge leg. Behavior responsibility this space pressure shoulder claim white.,Medium,Open,2026-06-01
10,5,Yeah participant model shoulder language capital fact perhaps,Three similar hold. Young parent when note yes.,Low,Resolved,2026-03-06
11,5,Source central that natural,Behind finish value claim evidence guy become. Represent leave worry without.,Low,Open,2026-06-19
12,5,Practice cell buy notice always teacher,Tax true can happen suddenly weight. Base including late theory yard amount. Scientist each start account. Fact citizen human authority.,Medium,Open,2026-04-05
13,5,Them protect give life,Board Congress board where however item husband. Fish you main reduce.,High,Open,2026-03-03
14,5,Boy lawyer nation we,Floor all over herself view. Smile without degree deep age serve.,High,Open,2026-04-29
15,5,Establish player base attorney if fear Republican,Degree throw contain approach time investment white. Clearly glass industry little read. Whole join tree now. Night throw cup.,Low,Open,2026-07-02
16,5,Pattern food worry voice sea say first character learn challenge,Society purpose enjoy reveal. Wall tax plant police official already second. Information national coach help girl.,Medium,Resolved,2026-06-15
17,5,Will officer add sport,To maybe test record power.,Medium,Resolved,2026-07-30
18,5,Increase goal stock international wind from unit learn health,Class job expect process quite plant reduce visit. Yet south billion power. Usually billion seek perhaps name plant me south. System deep since necessary boy. Wear go soldier less traditional population six.,Low,Resolved,2026-06-13
19,5,Account hear difference exist,Stuff somebody increase drop too. Allow ago so subject million scientist. Friend where year drop wind cover.,Medium,Resolved,2026-04-20
20,5,Stock soon official can player within community tough,Join between song mean. Officer hot several true study city follow behavior. Join pick order.,Medium,Open,2026-05-23
21,6,Peace myself win occur,Work play sing cost. Father movement early sister skill.,Low,Resolved,2026-04-12
22,6,Process ever various physical point often,Learn other blood executive. Behavior management guess stuff. Beyond somebody including main personal decision.,Low,Resolved,2026-04-29
23,6,Heart finish traditional speak conference act condition,Parent all wish year low pass national citizen. Unit cover ahead age memory.,Medium,Open,2026-05-12
24,7,Describe half together,Catch base reality call event current.,Medium,Resolved,2026-07-06
25,7,Give necessary family seat many,Two economic cup suffer response which. On short find some. Item land others even five blue him.,Low,Open,2026-02-16
26,7,Note hear plan ask cold almost,Only fall step population whole. Huge boy speak investment control early. Prevent head single business five. Response degree nothing. Together no history own money bill. Respond watch space provide off.,Low,Open,2026-06-17
27,8,Radio itself spend cup anyone management another,Budget laugh over option door again. Popular task write.,Low,Resolved,2026-06-05
28,8,Expect success idea time truth although population attorney believe,Ever send hundred news finish. Another fear worker management political treat successful visit. Ahead answer action black.,Medium,Open,2026-06-16
29,8,Technology right difficult because right speech,Various test employee. Book water avoid. Reach social here recognize understand on. Call technology send thousand. Pm property miss drive long majority. Focus room difficult enough fast.,Low,Resolved,2026-05-26
30,8,Good structure drug positive,Avoid manager defense provide. Stand could bit decade opportunity month teach. Remain pretty summer black candidate. History laugh per data hundred attention.,Medium,Open,2026-08-01
31,8,Clearly film thank possible challenge then seat drive thus,Agreement product laugh enter until. Great deep however issue. Apply evening best possible rule institution.,Medium,Resolved,2026-06-02
32,8,Country computer every parent million,Position where detail. Time offer draw.,High,Resolved,2026-06-20
33,8,Big difficult per respond hot big safe they environmental day,Pm relationship explain about continue traditional.,Low,Resolved,2026-06-01
34,10,Live figure trade draw fire attorney cost tonight,Program into again.,Medium,Open,2026-04-22
35,10,Thing color set,Goal listen a their line and admit quite. Structure moment cold chair behind. Sound friend make go nation.,Low,Resolved,2026-07-11
36,10,Effect learn still feeling,Simple tax total other both rate rock. Challenge improve detail. Ground all officer receive. Grow season create western police whole. Quickly tonight last when money enter quickly thousand.,Medium,Resolved,2026-02-17
37,10,Operation war everybody course often,But somebody note society get body across until. Letter change whom perhaps. Field explain son administration. Design stay but. Figure involve produce a edge go exist.,Medium,Resolved,2026-03-20
38,10,Program shoulder choice beat,You culture one ball. Allow usually eat question hit. Whom better end few financial nor. Source cause should economic indicate current.,Low,Open,2026-07-17
39,10,Beat note pick national heavy then join,Kind finish various Republican life into inside. Leave tree ago short because cell. Skill oil health per tonight.,Medium,Resolved,2026-05-10
40,10,Apply suddenly call prove leg several military,Area stop practice four.,Medium,Resolved,2026-07-23
41,11,State not real,Science purpose school apply. Might no whose carry time. Feeling financial writer according.,Medium,Resolved,2026-07-15
42,11,Perhaps customer attack check they mind easy billion agency,Hospital unit feel low contain dog. Employee partner keep probably but chair against. Stand price color score. Customer lose face beyond open happen every. Recently blue indicate interesting agreement lead. Hope oil alone practice price know traditional.,Low,Open,2026-05-16
43,11,While life rich everybody word group task me,Hospital artist pretty goal rest fund resource. Everything several field hour. Heavy line probably office until simple moment. Recently open oil once. Attack ahead run discuss professor material.,Low,Resolved,2026-04-23
44,11,Food discuss sign true somebody black thing,Two artist economy also seek kid. Paper subject type fly recognize help. News cultural make quickly different score its. Speak court old pick protect data special. Growth impact national.,Medium,Resolved,2026-06-18
45,11,Future radio,Couple debate still may ground tonight table. Keep personal them notice. Site fear brother discover. Music against start face stock hospital group their. Why avoid offer table. Matter human arm recently book likely true enjoy.,Low,Open,2026-05-23
46,11,Allow instead customer,Daughter stage form serious. Dog authority way toward.,Low,Resolved,2026-03-14
47,12,Generation audience indicate,Thought long can rich. Along medical practice it. Sit theory direction use ago. Move team radio scene need.,Low,Resolved,2026-03-24
48,12,Hit help by,Case just today work happy create job. Draw begin act including. Nothing yard address rest spend baby camera.,Low,Resolved,2026-07-08
49,12,Executive fire own three your,Huge price prevent baby voice day relate spend.,Low,Resolved,2026-04-07
50,12,Kitchen few happen,Than each throw five must. Approach too relationship perform.,Low,Resolved,2026-07-17
51,13,Bad treatment success,Figure need but right small. Within recognize practice. Well again student establish open feel whole. Everything particular manager television. Know difference here process mouth produce.,Low,Resolved,2026-03-29
52,14,Must girl ago participant,Special opportunity serious game stop. Tend site up sell southern network. Teach visit less occur nothing.,Low,Resolved,2026-06-07
53,14,Employee whether level yeah draw traditional exactly radio ever your,Front house past gun process. Activity fill produce structure summer kitchen admit across.,Medium,Resolved,2026-03-14
54,17,Whole lose such,Around voice everybody particular finish ask. Election skill employee manager. Piece chair peace anyone boy. Contain medical key.,High,Resolved,2026-05-04
55,17,Among response article research else either question tax,Responsibility over glass back kitchen memory down. Now stop race author interview executive.,Medium,Resolved,2026-03-03
56,17,Force small friend impact present,Perform civil and us treatment. Blood deep finish.,Low,Open,2026-06-14
57,17,Situation require vote her old price change several,When yeah not young. Nature individual run summer month anything line modern. First crime offer treat forget sometimes.,Low,Resolved,2026-03-17
